Symbol,q1_max,q2_max,q3_max,q4_max,q1_mean,q2_mean,q3_mean,q4_mean,q1_min,q2_min,q3_min,q4_min,q1_std,q2_std,q3_std,q4_std
AMG,170.91,166.45,189.83,206.51,158.2319355,159.6406349,177.8160317,193.7887302,141.34,149.51,166.18,182.86,9.869687961,4.797323808,5.016849847,6.240676786
AMGN,182.6,174.07,191,188.59,166.161129,162.6495238,177.1849206,176.974127,150.73,153.02,167.29,168.79,9.509939081,4.988039704,6.532602572,5.437791486
AMP,134.6,132.12,148.8,171.7,123.7590323,126.9831746,139.6557143,160.2385714,111.55,120.79,129.15,148.67,7.808195717,2.878858883,5.24093402,6.795422999
AMT,121.54,135.75,148.05,152.72,110.0082258,128.0969841,139.228254,142.7560317,103.01,120.64,130.93,135.86,5.89567041,3.792517521,4.5940865,4.269635302
AMZN,886.54,1011.34,1052.8,1195.83,833.4964516,954.157619,982.3595238,1100.454603,753.67,884.67,938.6,957.1,25.82410026,38.86306953,27.09682849,81.10034123
ANDV,89.08,94.45,105.28,115.36,83.77306452,84.36190476,98.41619048,107.5040476,79.61,75.49,92.72,103.55,2.660389216,5.452252821,3.512886153,3.16083261
ANSS,108.36,129.54,132.01,153.4,100.1762097,117.8109524,125.5673016,141.5685714,93.24,105.17,120.47,123.78,5.833782529,7.833386306,2.974469975,9.447628966
ANTM,169.2,193.36,197.43,234.96,159.0732258,179.6784127,190.3988889,212.9846032,142.79,164.75,181.44,183.76,8.119840056,8.645361651,3.735362448,14.78472379
AON,119.24,136.8,146.95,152.38,115.3946774,126.431746,139.5434921,142.3350794,111.17,118.1,132.97,133.3,2.323420823,6.208511987,3.487579879,5.313198986
AOS,52.17,57.52,59.55,63.42,49.61241935,53.98952381,56.09031746,60.68619048,47.19,49.56,53.46,58.41,1.352766062,2.336002533,1.887966963,1.137789918
APA,63.78,53.99,50.22,45.85,56.205,49.28793651,44.03031746,42.08484127,49.41,45.63,38.37,39.42,4.923288502,2.101058995,3.642266207,1.861372839
APC,71.74,62.9,49.93,54.1,66.54032258,53.04603175,44.1,49.17126984,59.94,43.79,40.52,47.11,3.671958859,5.913953849,2.303087689,1.732893806
APD,148.81,147.22,151.53,164.62,140.9590323,142.1503175,146.4698413,159.2487302,134.94,134.3,142.13,152.2,3.552672377,3.825155687,2.620422579,3.977035081
APH,71.89,76.18,84.64,91.04,69.21032258,73.01746032,78.58126984,87.9852381,66.6,68.65,72.48,84.77,1.573466433,2.179815743,3.108370848,1.509538337
APTV,,,,88.77,,,,85.1,,,,83.05,,,,1.194733542
ARE,120.47,121.6,122.09,134.03,112.9454839,116.375873,120.111746,125.9487302,108.18,110.75,117.21,118.74,3.274714192,2.871798714,1.156531996,3.662789564
ARNC,30.55,28.16,26.79,27.62,25.62064516,26.56920635,24.9584127,25.36777778,19.19,21.84,22.84,23.2,3.313988668,1.303024152,0.826032504,1.31361904
ATVI,50.19,61.16,66.16,66.73,43.93548387,55.22571429,62.39,63.23047619,36.64,48.42,56.26,58.6,4.54247267,4.151966388,2.315191764,1.706407685
AVB,186.75,199.1,194.28,188.11,179.415,191.1911111,187.2922222,181.4957143,169.61,183.53,178.16,175.55,4.153383669,3.347031478,3.987594248,2.773009146
AVGO,226.45,254.95,257.01,284.62,205.9190323,231.9861905,247.2396825,259.9598413,174.28,209.2,229.76,239.5,15.37296261,12.02004367,6.027280446,11.77123839
AVY,81.85,88.78,99.93,117.1,77.65822581,83.71031746,94.09095238,108.0914286,70.14,79.48,88.82,98.79,3.569318034,2.455478383,2.529242341,5.776477288
AWK,78,82.63,82.92,92.25,74.27935484,78.59539683,80.93380952,88.3668254,70.57,75.25,77.6,81.75,2.308153666,1.865186859,1.386085726,2.689540568
AXP,81.92,84.24,90.46,99.7,78.17903226,79.12444444,85.95650794,95.23888889,75.32,75.55,83.74,90.54,1.498161397,2.163064417,1.503845778,2.813422959
AYI,239.93,204.06,206.68,178.33,211.2404839,176.5442857,186.3438095,166.3915873,198.59,162.78,157.66,156.41,8.658706682,8.246503211,14.39506461,5.741122237
AZO,793.68,722.45,595.11,721.89,740.4898387,651.0180952,532.6273016,639.1990476,712.72,559.67,493.15,583.17,25.11585062,51.76369586,25.84693893,50.73480442
BA,183.91,202.23,256.45,297.9,170.3259677,186.167619,233.0955556,270.7133333,156.97,175.62,198.59,255.46,8.760467923,7.328838467,16.72378225,14.04842466
BAC,25.5,24.32,25.45,29.88,23.73145161,23.31571429,24.2752381,27.56531746,22.05,22.23,22.89,25.45,1.02984138,0.545576683,0.591724808,1.325290252
BAX,52.3,61.38,64.61,66.05,49.17709677,56.80253968,61.75857143,64.21126984,44.44,52.29,59.5,61.45,2.377306223,2.801098269,1.419532928,0.972417161
BBT,49.7,45.61,48.36,50.45,46.72241935,43.42079365,45.97507937,48.27404762,44,41.65,43.66,46.13,1.311592307,0.867129677,1.130817394,1.40656349
BBY,49.15,61.25,62.47,68.47,44.68548387,53.41730159,57.3231746,59.17349206,42.14,47.97,52.59,54.65,1.268368873,3.905106337,2.786892029,4.3348543
BDX,185.34,195.15,205.63,228.21,178.6708065,187.2103175,198.6601587,214.6604762,164.8,177.07,191.56,193.73,5.788345073,4.917395707,3.19997303,9.703857302
BEN,43.91,44.87,47.28,45.07,41.49354839,42.72809524,43.80698413,43.30698413,39.74,40.59,41.04,40.45,1.14631712,1.17022862,1.696402869,1.411145308
BF.B,48.95,56.92,54.65,68.78,46.4683871,49.03539683,50.74380952,59.61603175,43.96,45.47,47.27,53.66,1.373373486,2.529361022,2.607005716,4.941465611
BHF,,,70,63.63,,,59.99224074,59.16650794,,,53,54.97,,,5.210489817,2.084389876
BHGE,,,57.68,36.86,,,35.83825397,32.08634921,,,32.54,29.73,,,3.197235973,1.934901266
BIIB,299.02,286.89,329.69,344.58,282.7472581,264.4239683,296.111746,320.8049206,264.23,246.54,271.76,307.64,9.605106424,10.15449043,17.65280728,9.645297345
BK,48.71,51.02,54.04,54.97,46.76870968,47.82761905,52.48047619,53.2684127,43.87,46.2,50.28,50.82,1.287719402,1.277556532,0.889351755,1.291573442
BLK,397.81,428.38,447.09,518.86,382.5253226,398.8438095,426.7663492,486.0885714,371.64,377.1,412.19,449.95,5.998382218,17.22321197,7.75866473,20.44633155
BLL,38.6,42.52,42.92,42.93,37.3241129,39.50865079,40.98238095,40.57888889,36.14,35.765,39.06,37.56,0.699671776,2.084961748,1.047529681,1.6294449
BMY,60.13,57.33,63.74,65.35,54.84822581,54.41619048,58.38952381,62.54825397,46.82,51.66,54.24,59.94,3.350175686,1.195145326,3.119678658,1.39094368
BRK.B,177.28,171.55,183.82,199.56,167.3053226,166.3277778,176.7230159,189.8803175,158.81,161.26,169.24,181.06,5.125270314,2.481514525,4.296633204,5.711577085
BSX,25.41,28.25,29.17,29.8,24.31596774,26.53984127,27.62206349,27.58111111,21.88,24.42,26.26,24.79,0.879479093,1.223539936,0.872092698,1.708422316
BWA,43.95,44.36,51.23,55.68,41.38983871,41.18412698,46.39666667,52.52460317,39.5,37.99,43,50.92,1.050073365,1.698158049,1.987975141,0.954189109
BXP,139.88,136.87,124.95,130.96,132.5932258,126.4471429,121.1355556,125.4034921,127,120.27,117.7,120.68,3.156752728,5.364159865,1.559156904,2.497516288
C,61.55,66.98,72.74,77.1,59.14483871,61.32873016,68.27269841,73.94777778,55.68,57.72,65.95,71.33,1.762075659,2.238067637,1.722225873,1.478223044
CA,33.25,35.8,35.03,34.29,32.17822581,32.35333333,33.07333333,33.19047619,30.95,31.04,30.85,32.12,0.57773306,1.0591704,1.02720416,0.600304838
CAG,41.5,40.93,35.5,38.21,39.91403226,38.73507937,33.9731746,35.5184127,38.29,35.76,32.43,33.32,0.937494848,1.289413311,0.694231591,1.70116583
CAH,83.8,82.71,78.69,68.24,78.71032258,75.46888889,70.68873016,61.82698413,72.47,71.6,64.36,55,3.463447523,3.424023341,4.908626538,3.484967087
CAT,99.02,107.6,125.23,158.42,94.66290323,101.5839683,115.1649206,138.7014286,91.39,92.27,106.51,124.72,2.189177095,4.40001706,5.61315272,8.505296046
CB,140.38,147.58,149.87,155.19,134.5,140.7506349,144.7144444,149.4033333,128.48,135.48,134.88,144.7,3.169194447,3.975251209,3.072778389,2.748306223
CBG,36.43,37.13,38.42,44.2,33.44258065,34.77984127,36.7831746,41.45222222,30.04,32.48,34.91,38.22,2.340869206,1.163998243,0.896902961,1.923508592
CBOE,81.07,91.4,107.63,127.62,78.18725806,85.36206349,98.4384127,117.0677778,73.01,80.32,91.91,108.17,2.080996112,3.217683077,5.210011518,6.528453466
CBS,69.36,69.51,67.56,60.53,65.62629032,63.97730159,63.14412698,57.51111111,62.26,60.34,56.92,54.46,1.938470103,2.856507119,2.980314789,1.388611643
CCI,94.62,104.59,108.44,114.03,89.46725806,98.24825397,102.2846032,107.9015873,84.36,93.69,96.64,99.65,2.765830839,3.397428601,3.175157515,4.330045894
CCL,59.29,66.45,69.48,68.24,55.91725806,62.31111111,66.85873016,66.25793651,52.14,57.47,63.5,64.1,1.723769382,2.6843003,1.436025532,0.858382122
CDNS,31.93,35.52,39.47,45.6,29.18193548,33.27603175,36.84269841,42.98380952,25.34,30.85,33.07,39.7,2.482421371,1.315083144,1.653344808,1.38225672
CELG,126.88,134.31,145.82,146.52,119.6712903,122.5288889,136.2404762,112.8353968,111.53,114.41,127.43,98.17,4.278042483,5.07219877,4.954054523,15.52964531
CERN,59.29,68.32,71.94,73.57,54.04725806,63.8952381,66.35333333,69.1031746,47.55,58.31,61.6,64.78,2.860041367,3.230026394,2.719594965,2.601070391
CF,36.85,29.86,35.96,43.07,32.61596774,27.54428571,30.91761905,37.74539683,28.68,25.51,27.58,34.2,2.578876016,0.959044744,2.278604351,2.30993983
CFG,39.59,37.36,37.87,42.63,36.49016129,35.45777778,34.97539683,39.10722222,34.12,33.24,32.08,36.57,1.256189257,1.188677015,1.44306442,1.990887462
CHD,50.34,53.75,53.8,50.18,47.79387097,51.11126984,50.77015873,46.88730159,43.47,48.75,48.04,43.32,2.399597203,1.42734187,1.638600398,1.852024356
CHK,7.18,6.32,5.12,4.35,6.076129032,5.367777778,4.285396825,3.895873016,4.94,4.5,3.61,3.51,0.701729374,0.455335553,0.443373524,0.197072403
CHRW,80.86,77.7,76.1,89.5,76.82516129,70.84730159,69.30690476,81.62444444,72.85,66.97,64.98,75.02,2.366691501,3.58309796,3.155895204,4.50132159
CHTR,333.15,353.03,402.5,371.09,318.5198387,333.6061905,372.2074603,339.7404762,285.77,313.11,328.67,316.29,11.22190576,8.906266085,22.59938694,14.65093946
CI,154,170.68,187.62,211.73,147.3616129,160.6661905,178.08,199.0244444,135.72,149.39,167.5,184.99,3.757021926,6.346150072,5.36995735,6.974651749
CINF,76.07,73.89,80.52,77.5,72.49298387,70.93984127,76.03253968,74.44142857,69.73,68.69,71.84,70.17,1.826989699,1.289202669,2.304703443,1.737246484
CL,74.44,77.23,73.94,75.99,69.99887097,74.2452381,72.0747619,73.01761905,64.53,70.76,70.78,69.2,3.598979867,1.787855859,0.781553162,1.557953283
